episode,nearest distance for adult,nearest distance for child,nearest distance for elder,time DExc for adult,time DExc for child,time DExc for elder,reward,done_reason,total time steps,total time,path
1.0,0.37433060583799826,1.6713558409003635,1.6598857990920266,1.0,0.0,0.0,-1.7086197575226025,1.0,92.0,10.120000000000001,10.98474127958296
2.0,0.7382256728151629,1.3919049950582332,1.732882496604116,6.0,0.0,0.0,5.778352017101246,2.0,189.0,20.789999999999985,22.316771853950975
3.0,0.6984971400393644,1.39217373246835,1.5491735202961847,2.0,0.0,0.0,-2.080270646420774,1.0,89.0,9.790000000000003,10.558007888655522
4.0,0.39701773068544216,1.392242288496172,1.6438430822880952,4.0,0.0,0.0,-2.638180090377218,1.0,92.0,10.120000000000003,10.438857671428288
5.0,0.5648064103496956,1.6292242862790396,1.7425518483811258,2.0,0.0,0.0,-2.1009000938714615,1.0,89.0,9.790000000000001,10.558470339029606
6.0,0.8178899167537976,1.4058609119003642,1.7613146630422298,2.0,0.0,0.0,-2.079771423690193,1.0,91.0,10.010000000000002,10.24262533828964
7.0,0.7515369293190274,1.6881783075448333,1.6513465358411024,2.0,0.0,0.0,-1.9259795895810372,1.0,89.0,9.790000000000003,10.438987286214953
8.0,0.7417206981298267,1.6290777323937449,1.6952479091542143,1.0,0.0,0.0,-1.9267160304293598,1.0,88.0,9.680000000000003,10.43801012227941
9.0,0.6901486046163111,1.6459881057223469,1.6154366787195265,2.0,0.0,0.0,-2.022313187218724,1.0,89.0,9.790000000000003,10.55815065464775
10.0,0.7717195451934573,1.3600195656714336,1.829483599678348,2.0,0.0,0.0,-2.122508675290143,1.0,89.0,9.790000000000003,10.558094158044488
11.0,0.615871172673984,1.8241290982358698,1.4521009544244319,3.0,0.0,5.0,-2.6941442440174432,1.0,90.0,9.900000000000002,10.078384120630673
12.0,0.8295220150356946,1.1678286534938669,1.806726410731893,5.0,3.0,0.0,5.865217682638493,2.0,187.0,20.569999999999986,22.316039070207026
13.0,0.5200821962458992,1.518140127296649,1.7662470551562497,3.0,0.0,0.0,-2.357284863642689,1.0,90.0,9.900000000000002,10.199029652475069
14.0,0.6396353908747835,1.86965802756911,1.5038698747131363,3.0,0.0,0.0,-2.0518576204536823,1.0,91.0,10.010000000000003,10.198373595697044
